run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_JP2,prescale_JP2,lifetime_JP2,nevents_JP2,JP2_weight
13064029,4.08785206372443e-07,13821.40039062,1.0,9997.0,0.046061406015625,1.0,1.0,142643.0,968.6597989738588
13064031,3.60398462842083e-07,13306.0,0.875748863176152,9011.0,0.0410701947692642,1.0,0.893336230624366,123648.0,989.1650846883573
13064032,2.34415053714493e-07,12913.79980469,0.888175071043985,5861.0,0.0260003753740487,1.0,0.903719937846425,78254.0,984.1346189125819
13064052,3.18566844352693e-08,22709.19921875,1.0,778.0,0.00505018530125,1.0,1.0,17731.0,996.4331956566183
13064055,4.45010879951984e-07,20908.0,1.0,10851.0,0.06604450402,1.0,1.0,210622.0,1077.1557956908587
13064056,3.25006064294437e-07,18316.19921875,0.884402170410511,8125.0,0.045331337171344,1.0,0.904252919910062,132717.0,1146.4953355724704
13064061,1.75783123780022e-07,14950.79980469,0.891833382537378,4395.0,0.0210798461217458,1.0,0.910181524083393,61054.0,1098.382169394061
13064064,4.1432814452142e-07,14430.79980469,0.86891226922004,10357.0,0.0484019663338417,1.0,0.887477077941502,136752.0,1116.276820392414
13064065,4.78832108751667e-07,13721.59960938,0.890009958080318,11971.0,0.0535614683943966,1.0,0.90587245296628,151022.0,1107.0497633222785
13064066,3.12906523607484e-07,12962.59960938,0.896240254695703,7822.0,0.0333270094274039,1.0,0.910839854140269,94420.0,1091.3486131732334
13064067,1.86707679702442e-08,12447.59960938,0.342635491576044,466.0,6.87204791473299e-06,1.0,0.0012469479598373,6727.0,3.1380949600026717
13064068,2.30654637204849e-07,12306.59960938,0.827477798974405,5765.0,0.0235573891992683,1.0,0.843442874692875,66196.0,1092.4585266150045
13064070,4.08069513453255e-07,11785.59960938,0.891474805666325,10202.0,0.0400386798200185,1.0,0.906168135270302,114412.0,1068.2309018196133
13064075,4.78718456258071e-07,10843.0,0.890593212567657,11967.0,0.0434670084453695,1.0,0.87676268744633,123805.0,1031.8088356922829
13065005,2.89281192051391e-07,26034.19921875,0.891014363731035,7232.0,0.0548693656678694,1.0,0.913119794049126,172258.0,1120.124490555129
13065006,2.87013344090246e-07,22712.0,0.845314046157962,7175.0,0.0482207373327001,1.0,0.865183537263626,144383.0,1155.1845854909247
13065007,2.8243904094146e-07,20728.59960938,0.88141484122115,7060.0,0.0439283875801804,1.0,0.901500010519008,129022.0,1160.1022562901135
13065008,2.78932985775843e-07,19421.0,0.817089728692519,6971.0,0.0412060828999043,1.0,0.834635017154333,120127.0,1151.2055908149146
13065009,2.78945636930606e-07,18384.0,0.832578591194073,6974.0,0.0395252006862524,1.0,0.850191259479088,114375.0,1144.6751212590666
13065013,3.14322702921707e-08,16939.0,0.565868678946637,786.0,0.0039346675357653,1.0,0.544288778350751,12276.0,1043.1989916235564
13065014,2.74603915504327e-07,16518.59960938,0.837346916365232,6864.0,0.0357896829587026,1.0,0.855821151060187,104360.0,1110.437248227177
13065015,2.72420406429581e-07,16012.0,0.828394140907481,6810.0,0.034637979734742,1.0,0.844223968895071,101054.0,1099.6635864502948
13065016,2.74429808979098e-07,15495.79980469,0.831973343757831,6860.0,0.0341145738654411,1.0,0.847690280178685,99413.0,1089.4886858848388
